,identifier,titleEn,scopeEn
206,43.150,Cycles,Including their components and systems
207,43.160,Special purpose vehicles,Including waste collection vehicles and components and systems for special purpose vehicles
208,43.180,"Diagnostic, maintenance and test equipment",Including repairing facilities
209,45.020,Railway engineering in general,
210,45.040,Materials and components for railway engineering,
211,45.060,Railway rolling stock,"Including materials, components, electric and electronic equipment for railway rolling stock"
212,45.080,Rails and railway components,Including track components
213,45.100,Cableway equipment,Including ropeway equipment
214,45.120,Equipment for railway/cableway construction and maintenance,
215,45.140,"Metro, tram and light rail equipment",
216,47.020,Shipbuilding and marine structures in general,"Including offshore structures, except offshore structures for petroleum and natural gas industries, and seabed mining"
217,47.040,Seagoing vessels,Including their systems and components
218,47.060,Inland navigation vessels,Including their systems and components
219,47.080,Small craft,"Including small craft systems and components, and life-saving appliances"
220,49.020,Aircraft and space vehicles in general,"Including aircraft performance, flight dynamics, etc."
221,49.025,Materials for aerospace construction,
222,49.030,Fasteners for aerospace construction,
223,49.035,Components for aerospace construction,"Including bearings, rod ends and other mechanical components"
224,49.040,Coatings and related processes used in aerospace industry,
225,49.045,Structure and structure elements,
226,49.050,Aerospace engines and propulsion systems,Including fuel systems
227,49.060,Aerospace electric equipment and systems,Including Avionics
228,49.080,Aerospace fluid systems and components,
229,49.090,On-board equipment and instruments,Including navigation instruments and telecommunications equipment
230,49.095,Passenger and cabin equipment,
231,49.100,Ground service and maintenance equipment,
232,49.120,Cargo equipment,
233,49.140,Space systems and operations,"Including space data and information transfer systems, and ground support equipment for launch site operations"
234,53.020,Lifting equipment,
235,53.040,Continuous handling equipment,
236,53.060,Industrial trucks,"Including fork-lift trucks, sliding platforms, etc."
237,53.080,Storage equipment,"Including loading devices, shelves, etc."
238,53.100,Earth-moving machinery,"Including tractors, excavators, loaders, graders, etc."
239,53.120,Equipment for manual handling,"Including shovels, spades, crowbars, picks, etc."
240,55.020,Packaging and distribution of goods in general,
241,55.040,Packaging materials and accessories,"Including wrappers, paper, films, foils, cords, sealing devices, cushioning, etc."
242,55.060,Spools. Bobbins,"Including holders, supports, etc. for externally wound or mounted material"
243,55.080,Sacks. Bags,"Including sachets, envelopes"
244,55.100,Bottles. Pots. Jars,Small containers for liquids and their closures
245,55.120,Cans. Tins. Tubes,Light gauge metal and plastics containers
246,55.130,Aerosol containers,
247,55.140,Barrels. Drums. Canisters,"Containers mainly for transportation of fluids, including also casks, pails, large tin cans for shipping materials, etc."
248,55.160,Cases. Boxes. Crates,Containers for solid goods or objects and bulk materials
249,55.180,Freight distribution of goods,
250,55.200,Packaging machinery,"Including labelling, marking, branding, filling, sealing machines, etc."
251,55.220,Storing. Warehousing,
252,55.230,Distribution and vending machines,"Including distribution of tickets, food, beverages, tobacco products, etc."
253,59.020,Processes of the textile industry,
254,59.040,Textile auxiliary materials,Including feathers and down
255,59.060,Textile fibres,
256,59.080,Products of the textile industry,
257,59.100,Materials for the reinforcement of composites,
258,59.120,Textile machinery,
259,59.140,Leather technology,Including fur and imitation leather
260,61.020,Clothes,"Including underwear, nightwear, knitwear, military clothing, hosiery, etc. and their labelling and size coding schemes"
261,61.040,Headgear. Clothing accessories. Fastening of clothing,"Including ties, gloves, scarves, handkerchiefs, belts, braces, buttons, zip-fasteners, umbrellas, etc."
262,61.060,Footwear,Including shoelaces
263,61.080,Sewing machines and other equipment for the clothing industry,Including household sewing machines
264,65.020,Farming and forestry,
265,65.040,"Farm buildings, structures and installations",
266,65.060,"Agricultural machines, implements and equipment",
267,65.080,Fertilizers,Including soil conditioners and culture medium
268,65.100,Pesticides and other agrochemicals,
269,65.120,Animal feeding stuffs,
270,65.140,Beekeeping,Including equipment and installations for beekeeping
271,65.145,Hunting,Including equipment and installations for hunting
272,65.150,Fishing and fish breeding,"Including hunting of marine mammals and reptiles, collection and breeding of aquatic molluscs and other marine products, equipment and installations for fishing and fish breeding, etc."
273,65.160,"Tobacco, tobacco products and related equipment",
274,67.020,Processes in the food industry,Including food hygiene and food safety
275,67.040,Food products in general,
276,67.050,General methods of tests and analysis for food products,
277,67.060,"Cereals, pulses and derived products","Including grains, corn, flours, baked products, etc."
278,67.080,Fruits. Vegetables,"Including canned, dried and quick-frozen fruits and vegetables"
279,67.100,Milk and milk products,
280,67.120,"Meat, meat products and other animal produce",Including frozen products
281,67.140,Tea. Coffee. Cocoa,
282,67.160,Beverages,
283,67.180,Sugar. Sugar products. Starch,
284,67.190,Chocolate,
285,67.200,Edible oils and fats. Oilseeds,
286,67.220,Spices and condiments. Food additives,
287,67.230,Prepackaged and prepared foods,Including baby food
288,67.240,Sensory analysis,
289,67.250,Materials and articles in contact with foodstuffs,"Including catering containers, and materials and articles in contact with drinking water"
290,67.260,Plants and equipment for the food industry,
291,71.020,Production in the chemical industry,"Including plant layout and services, process design and control, processing operations, security measures, etc."
292,71.040,Analytical chemistry,
293,71.060,Inorganic chemicals,
294,71.080,Organic chemicals,
295,71.100,Products of the chemical industry,
296,71.120,Equipment for the chemical industry,
297,73.020,Mining and quarrying,"Including exploration, opening-up, development, working of mineral deposits, drilling, construction of mines, mining operations, processing of minerals, etc."
298,73.040,Coals,Including lignites
299,73.060,Metalliferous minerals and their concentrates,
300,73.080,Non-metalliferous minerals,"Including mica, fluorspar, etc."
301,73.100,Mining equipment,
302,73.120,Equipment for processing of minerals,"Including equipment for milling, sizing, separation, flotation, concentration, etc."
303,75.020,Extraction and processing of petroleum and natural gas,
304,75.040,Crude petroleum,
305,75.060,Natural gas,
306,75.080,Petroleum products in general,
307,75.100,"Lubricants, industrial oils and related products","Including mineral oils, fluids for metal working and for temporary protection against corrosion"
308,75.120,Hydraulic fluids,
309,75.140,"Waxes, bituminous materials and other petroleum products",
310,75.160,Fuels,
311,75.180,Equipment for petroleum and natural gas industries,
